Brand,Model,DefaultBodyType
Fiat,Punto,Hatchback
Fiat,Scudo,Commercial
Ford,Courier,Ute / Tray
Ford,Ecosport,SUV
Ford,Endura,SUV
Ford,Escape,SUV
Ford,Everest,SUV
Ford,F,Ute / Tray
Ford,F250,Ute / Tray
Ford,F450,Ute / Tray
Ford,FPV,nan
Ford,Falcon,Sedan
Ford,Fiesta,Hatchback
Ford,Focus,Hatchback
Ford,GT40,Coupe
Ford,Kuga,SUV
Ford,Mondeo,Hatchback
Ford,Mustang,Coupe
Ford,Puma,SUV
Ford,Ranger,Ute / Tray
Ford,Territory,SUV
Ford,Transit,Commercial
Foton,Tunland,Ute / Tray
GWM,Haval,SUV
GWM,ORA,Hatchback
GWM,Steed,Ute / Tray
GWM,Tank,SUV
GWM,UTE,Ute / Tray
GWM,Ute,Ute / Tray
GWM,V240,Ute / Tray
Geely,MK,nan
Genesis,G70,Sedan
Genesis,G80,Sedan
Genesis,GV70,SUV
Genesis,GV80,SUV
Great,Wall,Ute / Tray
HSV,Clubsport,Sedan
HSV,Colorado,Ute / Tray
HSV,Coupe,Coupe
HSV,GTS,Sedan
HSV,Grange,Sedan
HSV,Gtsr,Sedan
HSV,Maloo,Ute / Tray
HSV,Senator,Sedan
Haval,H2,SUV
Haval,H6,SUV
Haval,H8,SUV
Haval,H9,SUV
Haval,Jolion,SUV
Holden,Acadia,SUV
Holden,Adventra,SUV
Holden,Astra,Hatchback
Holden,Barina,Hatchback
Holden,Berlina,nan
Holden,Calais,Sedan
Holden,Caprice,Sedan
Holden,Captiva,SUV
Holden,Cascada,Convertible
Holden,Colorado,Ute / Tray
Holden,Combo,Commercial
Holden,Commodore,Sedan
Holden,Crewman,Ute / Tray
Holden,Cruze,Sedan
Holden,Epica,Sedan
Holden,Equinox,SUV
Holden,Malibu,Sedan
Holden,Monaro,Coupe
Holden,Rodeo,Ute / Tray
Holden,Spark,Hatchback
Holden,Statesman,Sedan
Holden,Trailblazer,SUV
Holden,Trax,SUV
Holden,UTE,Ute / Tray
Holden,Viva,Sedan
Honda,Accord,Sedan
Honda,CR-V,SUV
Honda,CR-Z,Coupe
Honda,City,Sedan
Honda,Civic,Sedan
Honda,Fit,Hatchback
Honda,HR-V,SUV
Honda,Jazz,Hatchback
Honda,Odyssey,Wagon
Honda,Other,Hatchback
Honda,Vezel,Wagon
Hyundai,Accent,Hatchback
Hyundai,Elantra,Sedan
Hyundai,Genesis,Sedan
Hyundai,Getz,Hatchback
Hyundai,I20,Hatchback
Hyundai,I30,Hatchback
Hyundai,I40,Sedan
Hyundai,I45,Sedan
Hyundai,IX35,SUV
Hyundai,Iload,Commercial
Hyundai,Imax,Wagon
Hyundai,Ioniq,Hatchback
Hyundai,Kona,SUV
Hyundai,Palisade,SUV
Hyundai,Santa,SUV
Hyundai,Sonata,Sedan
Hyundai,Staria,Wagon
Hyundai,Terracan,SUV
Hyundai,Tucson,SUV
Hyundai,Veloster,Hatchback
Hyundai,Venue,SUV
Infiniti,Q50,Sedan
Infiniti,Q60,Coupe
Isuzu,D-MAX,Ute / Tray
Isuzu,MU-X,SUV
Iveco,Daily,Commercial
Jaguar,E-Pace,SUV
Jaguar,F-Pace,SUV
Jaguar,F-Type,Coupe
Jaguar,I-Pace,SUV
Jaguar,X,Sedan
Jaguar,XE,Sedan
Jaguar,XF,Sedan
Jaguar,XJ,nan
Jaguar,XKR,Coupe
Jeep,Cherokee,SUV
Jeep,Compass,SUV
Jeep,Gladiator,Ute / Tray
Jeep,Grand,SUV
Jeep,Patriot,SUV
Jeep,Renegade,SUV
Jeep,Wrangler,SUV
Kia,Carnival,Wagon
Kia,Cerato,Hatchback
Kia,EV6,SUV
Kia,Grand,Wagon
Kia,Niro,SUV
Kia,Optima,Sedan
Kia,Picanto,Hatchback
Kia,RIO,Hatchback
Kia,Rondo,Wagon
Kia,Seltos,SUV
Kia,Sorento,SUV
Kia,Soul,Hatchback
Kia,Spectra,Hatchback
Kia,Sportage,SUV
Kia,Stinger,Sedan
Kia,Stonic,SUV
LDV,D90,SUV
LDV,Deliver,Commercial
LDV,G10,Commercial
LDV,G10+,Commercial
LDV,Mifa,Wagon
LDV,T60,Ute / Tray
LDV,V80,Commercial
Land,Rover,SUV
Lexus,CT,Hatchback
Lexus,CT200H,Hatchback
Lexus,ES250,Sedan
Lexus,ES300H,Sedan
Lexus,ES350,Sedan
Lexus,GS250,Sedan
Lexus,GS350,Sedan
Lexus,GS450H,Sedan
Lexus,HS,nan
Lexus,IS200T,Sedan
Lexus,IS250,Sedan
Lexus,IS250C,Convertible
Lexus,IS300,Sedan
Lexus,IS300H,Sedan
Lexus,IS350,Sedan
Lexus,LC500,Coupe
Lexus,LS460,Sedan
Lexus,LX450D,SUV
Lexus,LX500D,SUV
Lexus,LX570,SUV
Lexus,LX600,SUV
Lexus,NX,Wagon
Lexus,NX200T,SUV
Lexus,NX250,SUV
Lexus,NX300,SUV
Lexus,NX300H,SUV
Lexus,NX350,SUV
Lexus,NX350H,SUV
Lexus,Other,Hatchback
Lexus,RC,Coupe
Lexus,RC200T,Coupe
Lexus,RC350,Coupe
Lexus,RX,Wagon
Lexus,RX270,SUV
Lexus,RX300,SUV
Lexus,RX330,SUV
Lexus,RX350,SUV
Lexus,RX350L,SUV
Lexus,RX450H,SUV
Lexus,RX450HL,SUV
Lexus,RX500H,SUV
Lexus,SC430,Convertible
Lexus,UX,Wagon
Lexus,UX200,SUV
MG,3,Hatchback
MG,6,Hatchback
MG,HS,SUV
MG,MG3,Hatchback
MG,MG6,Hatchback
MG,ZS,SUV
MG,ZST,SUV
Mahindra,PIK-UP,Ute / Tray
Mahindra,Scorpio-N,SUV
Mahindra,XUV500,SUV
Mahindra,XUV700,SUV
Maserati,Ghibli,Sedan
Maserati,Grancabrio,Convertible
Maserati,Granturismo,Coupe
Maserati,Levante,SUV
Maserati,Quattroporte,Sedan
Mazda,2,Hatchback
Mazda,3,Hatchback
Mazda,323,Hatchback
Mazda,6,Sedan
Mazda,Axela,nan
Mazda,BT-50,Ute / Tray
Mazda,CX-3,SUV
Mazda,CX-30,SUV
Mazda,CX-5,SUV
Mazda,CX-7,SUV
Mazda,CX-8,SUV
Mazda,CX-9,SUV
Mazda,CX30,Wagon
Mazda,MPV,Wagon
Mazda,MX-30,SUV
Mazda,MX-5,Convertible
Mazda,RX-8,Coupe
Mazda,Tribute,SUV
Mercedes-Benz,A-CLASS,Hatchback
Mercedes-Benz,A170,Hatchback
Mercedes-Benz,A180,Hatchback
Mercedes-Benz,A190,Hatchback
Mercedes-Benz,A200,Hatchback
Mercedes-Benz,A250,Hatchback
Mercedes-Benz,A35,Hatchback
Mercedes-Benz,A45,Hatchback
Mercedes-Benz,B-Class,Hatchback
Mercedes-Benz,B180,Hatchback
Mercedes-Benz,B200,Hatchback
Mercedes-Benz,B250,Hatchback
Mercedes-Benz,C-CLASS,nan
Mercedes-Benz,C180,Coupe
Mercedes-Benz,C200,Sedan
Mercedes-Benz,C220,Sedan
Mercedes-Benz,C230,Sedan
Mercedes-Benz,C250,Sedan
Mercedes-Benz,C300,Sedan
Mercedes-Benz,C320,nan
Mercedes-Benz,C350,Sedan
Mercedes-Benz,C43,Coupe
Mercedes-Benz,C63,Sedan
Mercedes-Benz,CLA,Sedan
Mercedes-Benz,CLA200,Sedan
Mercedes-Benz,CLA250,Sedan
Mercedes-Benz,CLA35,Sedan
Mercedes-Benz,CLA45,Sedan
Mercedes-Benz,CLC200,Coupe
Mercedes-Benz,CLK-Class,Coupe
Mercedes-Benz,CLK280,Convertible
Mercedes-Benz,CLK320,Coupe
Mercedes-Benz,CLK500,Coupe
Mercedes-Benz,CLK63,Coupe
Mercedes-Benz,CLS250,Sedan
Mercedes-Benz,CLS350,Sedan
Mercedes-Benz,CLS500,Sedan
Mercedes-Benz,CLS53,Sedan
Mercedes-Benz,E-CLASS,Coupe
Mercedes-Benz,E200,Sedan
Mercedes-Benz,E220,Sedan
Mercedes-Benz,E250,Coupe
Mercedes-Benz,E300,Coupe
Mercedes-Benz,E350,Sedan
Mercedes-Benz,E400,Sedan
Mercedes-Benz,E500,Sedan
Mercedes-Benz,E53,Sedan
Mercedes-Benz,E55,Sedan
Mercedes-Benz,EQA,SUV
Mercedes-Benz,EQB,SUV
Mercedes-Benz,EQC,SUV
Mercedes-Benz,G350,SUV
Mercedes-Benz,GL-Class,Wagon
Mercedes-Benz,GL500,SUV
Mercedes-Benz,GL63,SUV
Mercedes-Benz,GLA,SUV
Mercedes-Benz,GLA180,SUV
Mercedes-Benz,GLA200,SUV
Mercedes-Benz,GLA220,SUV
Mercedes-Benz,GLA250,SUV
Mercedes-Benz,GLA35,SUV
Mercedes-Benz,GLA45,SUV
Mercedes-Benz,GLB,SUV
Mercedes-Benz,GLC,SUV
Mercedes-Benz,GLC200,SUV
Mercedes-Benz,GLC220,SUV
Mercedes-Benz,GLC250,SUV
Mercedes-Benz,GLC300,SUV
Mercedes-Benz,GLC350,SUV
Mercedes-Benz,GLC43,SUV
Mercedes-Benz,GLC63,SUV
Mercedes-Benz,GLE,SUV
Mercedes-Benz,GLE250,SUV
Mercedes-Benz,GLE300,SUV
Mercedes-Benz,GLE350,SUV
Mercedes-Benz,GLE400,SUV
Mercedes-Benz,GLE43,SUV
Mercedes-Benz,GLE450,SUV
Mercedes-Benz,GLE63,SUV
Mercedes-Benz,GLS,SUV
Mercedes-Benz,GLS350,SUV
Mercedes-Benz,GLS500,SUV
Mercedes-Benz,Glb,Coupe
Mercedes-Benz,M-Class,Wagon
Mercedes-Benz,MB100,Commercial
Mercedes-Benz,ML250,SUV
Mercedes-Benz,ML300,SUV
Mercedes-Benz,ML350,SUV
Mercedes-Benz,ML400,SUV
Mercedes-Benz,ML500,SUV
Mercedes-Benz,ML63,SUV
Mercedes-Benz,Marco,Wagon
Mercedes-Benz,R300,SUV
Mercedes-Benz,R320,SUV
Mercedes-Benz,S-Class,nan
Mercedes-Benz,S350,Sedan
Mercedes-Benz,S450,Sedan
Mercedes-Benz,S63,Coupe
Mercedes-Benz,S65,Sedan
Mercedes-Benz,SL350,Convertible
Mercedes-Benz,SL500,Convertible
Mercedes-Benz,SL55,Convertible
Mercedes-Benz,SLC,Convertible
Mercedes-Benz,SLK350,Convertible
Mercedes-Benz,Sprinter,Commercial
Mercedes-Benz,V,Wagon
Mercedes-Benz,V250,Wagon
Mercedes-Benz,Valente,Wagon
Mercedes-Benz,Vito,Commercial
Mercedes-Benz,X250,Ute / Tray
Mercedes-Benz,X350,Ute / Tray
Mini,3D,Hatchback
Mini,5D,Hatchback
Mini,Cabrio,Convertible
Mini,Clubman,Wagon
Mini,Convertible,Convertible
Mini,Cooper,Hatchback
Mini,Cooper_Countryman,Wagon
Mini,Countryman,SUV
Mini,Coupe,Coupe
Mini,Paceman,Hatchback
Mini,Roadster,Convertible
Mitsubishi,380,Sedan
Mitsubishi,ASX,SUV
Mitsubishi,Airtrek,Wagon
Mitsubishi,Challenger,SUV
Mitsubishi,Colt,Hatchback
Mitsubishi,Delica,Commercial
Mitsubishi,Eclipse,SUV
Mitsubishi,Express,Commercial
Mitsubishi,Fuso,Ute / Tray
Mitsubishi,Lancer,Sedan
Mitsubishi,Magna,Sedan
Mitsubishi,Mirage,Hatchback
Mitsubishi,Outlander,SUV
Mitsubishi,Pajero,SUV
Mitsubishi,Triton,Ute / Tray
Mitsubishi,Verada,Sedan
Nissan,180,Hatchback
Nissan,350Z,Convertible
Nissan,370Z,Coupe
Nissan,Almera,Sedan
Nissan,Altima,Sedan
Nissan,Atlas,nan
Nissan,Caravan,Commercial
Nissan,Cube,Wagon
Nissan,Dualis,SUV
Nissan,E20,Hatchback
Nissan,Elgrand,Wagon
Nissan,GT-R,Coupe
Nissan,Juke,SUV
Nissan,Leaf,Hatchback
Nissan,Maxima,Sedan
Nissan,Micra,Hatchback
Nissan,Murano,SUV
Nissan,NV350,Commercial
Nissan,Navara,Ute / Tray
Nissan,Note,Hatchback
Nissan,Pathfinder,SUV
Nissan,Patrol,SUV
Nissan,Pulsar,Sedan
Nissan,Qashqai,SUV
Nissan,Serena,Wagon
Nissan,Silvia,Coupe
Nissan,Skyline,Coupe
Nissan,Tiida,Hatchback
Nissan,X-Trail,SUV
Nissan,Z,Coupe
Opel,Astra,Wagon
Opel,Corsa,Hatchback
Peugeot,2008,SUV
Peugeot,207,Hatchback
Peugeot,208,Hatchback
Peugeot,3008,SUV
Peugeot,308,Hatchback
Peugeot,4008,SUV
Peugeot,407,Sedan
Peugeot,5008,SUV
Peugeot,508,Sedan
Peugeot,Expert,Commercial
Peugeot,RCZ,Coupe
Porsche,718,Coupe
Porsche,911,Convertible
Porsche,Boxster,Convertible
Porsche,Cayenne,SUV
Porsche,Macan,SUV
Porsche,Panamera,Sedan
Porsche,Taycan,Sedan
Proton,S16,Sedan
Ram,1500,Ute / Tray
Ram,2500,Ute / Tray
Renault,Arkana,SUV
Renault,Captur,SUV
Renault,Clio,Hatchback
Renault,Kadjar,SUV
Renault,Kangoo,Commercial
Renault,Koleos,SUV
Renault,Laguna,Hatchback
Renault,Master,Commercial
Renault,Megane,Hatchback
Renault,Trafic,Commercial
Saab,3-Sep,Sedan
Skoda,Fabia,Hatchback
Skoda,Kamiq,SUV
Skoda,Karoq,SUV
Skoda,Kodiaq,SUV
Skoda,Octavia,Wagon
Skoda,Rapid,Wagon
Skoda,Scala,Hatchback
Skoda,Superb,Wagon
Smart,Fortwo,Coupe
Ssangyong,Actyon,Ute / Tray
Ssangyong,Korando,SUV
Ssangyong,Musso,Ute / Tray
Ssangyong,Rexton,SUV
Ssangyong,Stavic,Wagon
Subaru,BRZ,Coupe
Subaru,Crosstrek,Hatchback
Subaru,Forester,SUV
Subaru,Impreza,Hatchback
Subaru,Legacy,Wagon
Subaru,Levorg,Wagon
Subaru,Liberty,Sedan
Subaru,Outback,SUV
Subaru,Tribeca,SUV
Subaru,WRX,Sedan
Subaru,XV,SUV
Suzuki,Alto,Hatchback
Suzuki,Baleno,Hatchback
Suzuki,Carry,Ute / Tray
Suzuki,Celerio,Hatchback
Suzuki,Every,nan
Suzuki,Grand,SUV
Suzuki,Ignis,SUV
Suzuki,Jimny,SUV
Suzuki,Kizashi,Sedan
Suzuki,S-Cross,SUV
Suzuki,SX4,Hatchback
Suzuki,Swift,Hatchback
Suzuki,Sx4,Hatchback
Suzuki,Vitara,SUV
Tata,Xenon,Ute / Tray
Tesla,Model,Sedan
Toyota,86,Coupe
Toyota,Alphard,Wagon
Toyota,Altezza,nan
Toyota,Aurion,Sedan
Toyota,Avensis,Wagon
Toyota,C-HR,SUV
Toyota,Caldina,Wagon
Toyota,Camry,Sedan
Toyota,Century,nan
Toyota,Coaster,People Mover
Toyota,Corolla,Hatchback
Toyota,Crown,nan
Toyota,Echo,Hatchback
Toyota,Estima,Wagon
Toyota,FJ,SUV
Toyota,Fortuner,SUV
Toyota,GR,Hatchback
Toyota,GR86,Coupe
Toyota,Granvia,Commercial
Toyota,HiAce,Commercial
Toyota,Hiace,Commercial
Toyota,Hilux,Ute / Tray
Toyota,Kluger,SUV
Toyota,Land,Wagon
Toyota,Landcruiser,SUV
Toyota,Mark,Wagon
Toyota,Noah,Wagon
Toyota,Other,Commercial
Toyota,Prius,Hatchback
Toyota,Prius-C,Hatchback
Toyota,RAV4,SUV
Toyota,Ractis,Hatchback
Toyota,Rav,Wagon
Toyota,Regius,Commercial
Toyota,Sai,nan
Toyota,Supra,Coupe
Toyota,Tarago,Wagon
Toyota,Tundra,Ute / Tray
Toyota,Vellfire,Wagon
Toyota,Voxy,Wagon
Toyota,Yaris,Hatchback
Volkswagen,Amarok,Ute / Tray
Volkswagen,Arteon,Hatchback
Volkswagen,Beetle,Hatchback
Volkswagen,CC,Sedan
Volkswagen,Caddy,Commercial
Volkswagen,Caravelle,Wagon
Volkswagen,Crafter,Commercial
Volkswagen,EOS,Convertible
Volkswagen,Golf,Hatchback
Volkswagen,Jetta,Sedan
Volkswagen,Multivan,Wagon
Volkswagen,Passat,Wagon
Volkswagen,Polo,Hatchback
Volkswagen,Scirocco,Hatchback
Volkswagen,T-Cross,SUV
Volkswagen,T-ROC,SUV
Volkswagen,Tiguan,SUV
Volkswagen,Touareg,SUV
Volkswagen,Transporter,Commercial
Volvo,C30,Hatchback
Volvo,C40,SUV
Volvo,S60,Sedan
Volvo,V40,Hatchback
Volvo,V50,Wagon
Volvo,V60,Wagon
Volvo,XC40,SUV
Volvo,XC60,SUV
Volvo,XC70,SUV
Volvo,XC90,SUV
Volvo,Xc,Wagon
